data\test\image\cxrimage_16932.png,data\test\mask\cxrmask_16932.jpeg
data\train\image\cxrimage_16619.png,data\train\mask\cxrmask_16619.jpeg
data\train\image\cxrimage_1662.png,data\train\mask\cxrmask_1662.jpeg
data\train\image\cxrimage_16620.png,data\train\mask\cxrmask_16620.jpeg
data\train\image\cxrimage_16621.png,data\train\mask\cxrmask_16621.jpeg
data\train\image\cxrimage_16622.png,data\train\mask\cxrmask_16622.jpeg
data\train\image\cxrimage_16623.png,data\train\mask\cxrmask_16623.jpeg
data\train\image\cxrimage_16624.png,data\train\mask\cxrmask_16624.jpeg
data\train\image\cxrimage_16625.png,data\train\mask\cxrmask_16625.jpeg
data\train\image\cxrimage_16626.png,data\train\mask\cxrmask_16626.jpeg
data\train\image\cxrimage_16627.png,data\train\mask\cxrmask_16627.jpeg
data\train\image\cxrimage_16628.png,data\train\mask\cxrmask_16628.jpeg
data\train\image\cxrimage_16629.png,data\train\mask\cxrmask_16629.jpeg
data\train\image\cxrimage_1663.png,data\train\mask\cxrmask_1663.jpeg
data\train\image\cxrimage_16630.png,data\train\mask\cxrmask_16630.jpeg
data\train\image\cxrimage_16631.png,data\train\mask\cxrmask_16631.jpeg
data\train\image\cxrimage_16632.png,data\train\mask\cxrmask_16632.jpeg
data\train\image\cxrimage_16633.png,data\train\mask\cxrmask_16633.jpeg
data\train\image\cxrimage_16634.png,data\train\mask\cxrmask_16634.jpeg
data\train\image\cxrimage_16635.png,data\train\mask\cxrmask_16635.jpeg
data\train\image\cxrimage_16636.png,data\train\mask\cxrmask_16636.jpeg
data\train\image\cxrimage_16637.png,data\train\mask\cxrmask_16637.jpeg
data\train\image\cxrimage_16638.png,data\train\mask\cxrmask_16638.jpeg
data\train\image\cxrimage_16639.png,data\train\mask\cxrmask_16639.jpeg
data\train\image\cxrimage_1664.png,data\train\mask\cxrmask_1664.jpeg
data\train\image\cxrimage_16640.png,data\train\mask\cxrmask_16640.jpeg
data\train\image\cxrimage_16641.png,data\train\mask\cxrmask_16641.jpeg
data\train\image\cxrimage_16642.png,data\train\mask\cxrmask_16642.jpeg
data\train\image\cxrimage_16643.png,data\train\mask\cxrmask_16643.jpeg
data\train\image\cxrimage_16644.png,data\train\mask\cxrmask_16644.jpeg
data\train\image\cxrimage_16645.png,data\train\mask\cxrmask_16645.jpeg
data\train\image\cxrimage_16646.png,data\train\mask\cxrmask_16646.jpeg
data\train\image\cxrimage_16647.png,data\train\mask\cxrmask_16647.jpeg
data\train\image\cxrimage_16648.png,data\train\mask\cxrmask_16648.jpeg
data\train\image\cxrimage_16649.png,data\train\mask\cxrmask_16649.jpeg
data\train\image\cxrimage_1665.png,data\train\mask\cxrmask_1665.jpeg
data\train\image\cxrimage_16650.png,data\train\mask\cxrmask_16650.jpeg
data\train\image\cxrimage_16651.png,data\train\mask\cxrmask_16651.jpeg
data\train\image\cxrimage_16652.png,data\train\mask\cxrmask_16652.jpeg
data\train\image\cxrimage_16653.png,data\train\mask\cxrmask_16653.jpeg
data\train\image\cxrimage_16654.png,data\train\mask\cxrmask_16654.jpeg
data\train\image\cxrimage_16655.png,data\train\mask\cxrmask_16655.jpeg
data\train\image\cxrimage_16656.png,data\train\mask\cxrmask_16656.jpeg
data\train\image\cxrimage_16657.png,data\train\mask\cxrmask_16657.jpeg
data\train\image\cxrimage_16658.png,data\train\mask\cxrmask_16658.jpeg
data\train\image\cxrimage_16659.png,data\train\mask\cxrmask_16659.jpeg
data\train\image\cxrimage_1666.png,data\train\mask\cxrmask_1666.jpeg
data\train\image\cxrimage_16660.png,data\train\mask\cxrmask_16660.jpeg
data\train\image\cxrimage_16661.png,data\train\mask\cxrmask_16661.jpeg
data\train\image\cxrimage_16662.png,data\train\mask\cxrmask_16662.jpeg
data\train\image\cxrimage_16663.png,data\train\mask\cxrmask_16663.jpeg
data\train\image\cxrimage_16664.png,data\train\mask\cxrmask_16664.jpeg
data\train\image\cxrimage_16665.png,data\train\mask\cxrmask_16665.jpeg
data\train\image\cxrimage_16666.png,data\train\mask\cxrmask_16666.jpeg
data\train\image\cxrimage_16667.png,data\train\mask\cxrmask_16667.jpeg
data\train\image\cxrimage_16668.png,data\train\mask\cxrmask_16668.jpeg
data\train\image\cxrimage_16669.png,data\train\mask\cxrmask_16669.jpeg
data\train\image\cxrimage_1667.png,data\train\mask\cxrmask_1667.jpeg
data\train\image\cxrimage_16670.png,data\train\mask\cxrmask_16670.jpeg
data\train\image\cxrimage_16671.png,data\train\mask\cxrmask_16671.jpeg
data\train\image\cxrimage_16672.png,data\train\mask\cxrmask_16672.jpeg
data\train\image\cxrimage_16673.png,data\train\mask\cxrmask_16673.jpeg
data\train\image\cxrimage_16674.png,data\train\mask\cxrmask_16674.jpeg
data\train\image\cxrimage_16675.png,data\train\mask\cxrmask_16675.jpeg
data\train\image\cxrimage_16676.png,data\train\mask\cxrmask_16676.jpeg
data\train\image\cxrimage_16677.png,data\train\mask\cxrmask_16677.jpeg
data\train\image\cxrimage_16678.png,data\train\mask\cxrmask_16678.jpeg
data\train\image\cxrimage_16679.png,data\train\mask\cxrmask_16679.jpeg
data\train\image\cxrimage_1668.png,data\train\mask\cxrmask_1668.jpeg
data\train\image\cxrimage_16680.png,data\train\mask\cxrmask_16680.jpeg
data\train\image\cxrimage_16681.png,data\train\mask\cxrmask_16681.jpeg
data\train\image\cxrimage_16682.png,data\train\mask\cxrmask_16682.jpeg
data\train\image\cxrimage_16683.png,data\train\mask\cxrmask_16683.jpeg
data\train\image\cxrimage_16684.png,data\train\mask\cxrmask_16684.jpeg
data\train\image\cxrimage_16685.png,data\train\mask\cxrmask_16685.jpeg
data\train\image\cxrimage_16686.png,data\train\mask\cxrmask_16686.jpeg
data\train\image\cxrimage_16687.png,data\train\mask\cxrmask_16687.jpeg
data\train\image\cxrimage_16688.png,data\train\mask\cxrmask_16688.jpeg
data\train\image\cxrimage_16689.png,data\train\mask\cxrmask_16689.jpeg
data\train\image\cxrimage_1669.png,data\train\mask\cxrmask_1669.jpeg
data\train\image\cxrimage_16690.png,data\train\mask\cxrmask_16690.jpeg
data\train\image\cxrimage_16691.png,data\train\mask\cxrmask_16691.jpeg
data\train\image\cxrimage_16692.png,data\train\mask\cxrmask_16692.jpeg
data\train\image\cxrimage_16693.png,data\train\mask\cxrmask_16693.jpeg
data\train\image\cxrimage_16694.png,data\train\mask\cxrmask_16694.jpeg
data\train\image\cxrimage_16695.png,data\train\mask\cxrmask_16695.jpeg
data\train\image\cxrimage_16696.png,data\train\mask\cxrmask_16696.jpeg
data\train\image\cxrimage_16697.png,data\train\mask\cxrmask_16697.jpeg
data\train\image\cxrimage_16698.png,data\train\mask\cxrmask_16698.jpeg
data\train\image\cxrimage_16699.png,data\train\mask\cxrmask_16699.jpeg
data\train\image\cxrimage_167.png,data\train\mask\cxrmask_167.jpeg
data\train\image\cxrimage_1670.png,data\train\mask\cxrmask_1670.jpeg
data\train\image\cxrimage_16700.png,data\train\mask\cxrmask_16700.jpeg
data\train\image\cxrimage_16701.png,data\train\mask\cxrmask_16701.jpeg
data\train\image\cxrimage_16702.png,data\train\mask\cxrmask_16702.jpeg
data\train\image\cxrimage_16703.png,data\train\mask\cxrmask_16703.jpeg
data\train\image\cxrimage_16704.png,data\train\mask\cxrmask_16704.jpeg
data\train\image\cxrimage_16705.png,data\train\mask\cxrmask_16705.jpeg
data\train\image\cxrimage_16706.png,data\train\mask\cxrmask_16706.jpeg
data\train\image\cxrimage_16707.png,data\train\mask\cxrmask_16707.jpeg
data\train\image\cxrimage_16708.png,data\train\mask\cxrmask_16708.jpeg
data\train\image\cxrimage_16709.png,data\train\mask\cxrmask_16709.jpeg
data\train\image\cxrimage_1671.png,data\train\mask\cxrmask_1671.jpeg
data\train\image\cxrimage_16710.png,data\train\mask\cxrmask_16710.jpeg
data\train\image\cxrimage_16711.png,data\train\mask\cxrmask_16711.jpeg
data\train\image\cxrimage_16712.png,data\train\mask\cxrmask_16712.jpeg
data\train\image\cxrimage_16713.png,data\train\mask\cxrmask_16713.jpeg
data\train\image\cxrimage_16714.png,data\train\mask\cxrmask_16714.jpeg
data\train\image\cxrimage_16715.png,data\train\mask\cxrmask_16715.jpeg
data\train\image\cxrimage_16716.png,data\train\mask\cxrmask_16716.jpeg
data\train\image\cxrimage_16717.png,data\train\mask\cxrmask_16717.jpeg
data\train\image\cxrimage_16718.png,data\train\mask\cxrmask_16718.jpeg
data\train\image\cxrimage_16719.png,data\train\mask\cxrmask_16719.jpeg
data\train\image\cxrimage_1672.png,data\train\mask\cxrmask_1672.jpeg
data\train\image\cxrimage_16720.png,data\train\mask\cxrmask_16720.jpeg
data\train\image\cxrimage_16721.png,data\train\mask\cxrmask_16721.jpeg
data\train\image\cxrimage_16722.png,data\train\mask\cxrmask_16722.jpeg
data\train\image\cxrimage_16723.png,data\train\mask\cxrmask_16723.jpeg
data\train\image\cxrimage_16724.png,data\train\mask\cxrmask_16724.jpeg
data\train\image\cxrimage_16725.png,data\train\mask\cxrmask_16725.jpeg
data\train\image\cxrimage_16726.png,data\train\mask\cxrmask_16726.jpeg
data\train\image\cxrimage_16727.png,data\train\mask\cxrmask_16727.jpeg
data\train\image\cxrimage_16728.png,data\train\mask\cxrmask_16728.jpeg
data\train\image\cxrimage_16729.png,data\train\mask\cxrmask_16729.jpeg
data\train\image\cxrimage_1673.png,data\train\mask\cxrmask_1673.jpeg
data\train\image\cxrimage_16730.png,data\train\mask\cxrmask_16730.jpeg
data\train\image\cxrimage_16731.png,data\train\mask\cxrmask_16731.jpeg
data\train\image\cxrimage_16732.png,data\train\mask\cxrmask_16732.jpeg
data\train\image\cxrimage_16733.png,data\train\mask\cxrmask_16733.jpeg
data\train\image\cxrimage_16734.png,data\train\mask\cxrmask_16734.jpeg
data\train\image\cxrimage_16735.png,data\train\mask\cxrmask_16735.jpeg
data\train\image\cxrimage_16736.png,data\train\mask\cxrmask_16736.jpeg
data\train\image\cxrimage_16737.png,data\train\mask\cxrmask_16737.jpeg
data\train\image\cxrimage_16738.png,data\train\mask\cxrmask_16738.jpeg
data\train\image\cxrimage_16739.png,data\train\mask\cxrmask_16739.jpeg
data\train\image\cxrimage_1674.png,data\train\mask\cxrmask_1674.jpeg
data\train\image\cxrimage_16740.png,data\train\mask\cxrmask_16740.jpeg
data\train\image\cxrimage_16741.png,data\train\mask\cxrmask_16741.jpeg
data\train\image\cxrimage_16742.png,data\train\mask\cxrmask_16742.jpeg
data\train\image\cxrimage_16743.png,data\train\mask\cxrmask_16743.jpeg
data\train\image\cxrimage_16744.png,data\train\mask\cxrmask_16744.jpeg
data\train\image\cxrimage_16745.png,data\train\mask\cxrmask_16745.jpeg
data\train\image\cxrimage_16746.png,data\train\mask\cxrmask_16746.jpeg
data\train\image\cxrimage_16747.png,data\train\mask\cxrmask_16747.jpeg
data\train\image\cxrimage_16748.png,data\train\mask\cxrmask_16748.jpeg
data\train\image\cxrimage_16749.png,data\train\mask\cxrmask_16749.jpeg
data\train\image\cxrimage_1675.png,data\train\mask\cxrmask_1675.jpeg
data\train\image\cxrimage_16750.png,data\train\mask\cxrmask_16750.jpeg
data\train\image\cxrimage_16751.png,data\train\mask\cxrmask_16751.jpeg
data\train\image\cxrimage_16752.png,data\train\mask\cxrmask_16752.jpeg
data\train\image\cxrimage_16753.png,data\train\mask\cxrmask_16753.jpeg
data\train\image\cxrimage_16754.png,data\train\mask\cxrmask_16754.jpeg
data\train\image\cxrimage_16755.png,data\train\mask\cxrmask_16755.jpeg
data\train\image\cxrimage_16756.png,data\train\mask\cxrmask_16756.jpeg
data\train\image\cxrimage_16757.png,data\train\mask\cxrmask_16757.jpeg
data\train\image\cxrimage_16758.png,data\train\mask\cxrmask_16758.jpeg
data\train\image\cxrimage_16759.png,data\train\mask\cxrmask_16759.jpeg
data\train\image\cxrimage_1676.png,data\train\mask\cxrmask_1676.jpeg
data\train\image\cxrimage_16760.png,data\train\mask\cxrmask_16760.jpeg
data\train\image\cxrimage_16761.png,data\train\mask\cxrmask_16761.jpeg
data\train\image\cxrimage_16762.png,data\train\mask\cxrmask_16762.jpeg
data\train\image\cxrimage_16763.png,data\train\mask\cxrmask_16763.jpeg
data\train\image\cxrimage_16764.png,data\train\mask\cxrmask_16764.jpeg
data\train\image\cxrimage_16765.png,data\train\mask\cxrmask_16765.jpeg
data\train\image\cxrimage_16766.png,data\train\mask\cxrmask_16766.jpeg
data\train\image\cxrimage_16767.png,data\train\mask\cxrmask_16767.jpeg
data\train\image\cxrimage_16768.png,data\train\mask\cxrmask_16768.jpeg
data\train\image\cxrimage_16769.png,data\train\mask\cxrmask_16769.jpeg
data\train\image\cxrimage_1677.png,data\train\mask\cxrmask_1677.jpeg
data\train\image\cxrimage_16770.png,data\train\mask\cxrmask_16770.jpeg
data\train\image\cxrimage_16771.png,data\train\mask\cxrmask_16771.jpeg
data\train\image\cxrimage_16772.png,data\train\mask\cxrmask_16772.jpeg
data\train\image\cxrimage_16773.png,data\train\mask\cxrmask_16773.jpeg
data\train\image\cxrimage_16774.png,data\train\mask\cxrmask_16774.jpeg
data\train\image\cxrimage_16775.png,data\train\mask\cxrmask_16775.jpeg
data\train\image\cxrimage_16776.png,data\train\mask\cxrmask_16776.jpeg
data\train\image\cxrimage_16777.png,data\train\mask\cxrmask_16777.jpeg
data\train\image\cxrimage_16778.png,data\train\mask\cxrmask_16778.jpeg
data\train\image\cxrimage_16779.png,data\train\mask\cxrmask_16779.jpeg
data\train\image\cxrimage_1678.png,data\train\mask\cxrmask_1678.jpeg
data\train\image\cxrimage_16780.png,data\train\mask\cxrmask_16780.jpeg
data\train\image\cxrimage_16781.png,data\train\mask\cxrmask_16781.jpeg
data\train\image\cxrimage_16782.png,data\train\mask\cxrmask_16782.jpeg
data\train\image\cxrimage_16783.png,data\train\mask\cxrmask_16783.jpeg
data\train\image\cxrimage_16784.png,data\train\mask\cxrmask_16784.jpeg
data\train\image\cxrimage_16785.png,data\train\mask\cxrmask_16785.jpeg
data\train\image\cxrimage_16786.png,data\train\mask\cxrmask_16786.jpeg
data\train\image\cxrimage_16787.png,data\train\mask\cxrmask_16787.jpeg
data\train\image\cxrimage_16788.png,data\train\mask\cxrmask_16788.jpeg
data\train\image\cxrimage_16789.png,data\train\mask\cxrmask_16789.jpeg
data\train\image\cxrimage_1679.png,data\train\mask\cxrmask_1679.jpeg
data\train\image\cxrimage_16790.png,data\train\mask\cxrmask_16790.jpeg
data\train\image\cxrimage_16791.png,data\train\mask\cxrmask_16791.jpeg
data\train\image\cxrimage_16792.png,data\train\mask\cxrmask_16792.jpeg
data\train\image\cxrimage_16793.png,data\train\mask\cxrmask_16793.jpeg
data\train\image\cxrimage_16794.png,data\train\mask\cxrmask_16794.jpeg
data\train\image\cxrimage_16795.png,data\train\mask\cxrmask_16795.jpeg
data\train\image\cxrimage_16796.png,data\train\mask\cxrmask_16796.jpeg
data\train\image\cxrimage_16797.png,data\train\mask\cxrmask_16797.jpeg
data\train\image\cxrimage_16798.png,data\train\mask\cxrmask_16798.jpeg
data\train\image\cxrimage_16799.png,data\train\mask\cxrmask_16799.jpeg
data\train\image\cxrimage_168.png,data\train\mask\cxrmask_168.jpeg
data\train\image\cxrimage_1680.png,data\train\mask\cxrmask_1680.jpeg
data\train\image\cxrimage_16800.png,data\train\mask\cxrmask_16800.jpeg
data\train\image\cxrimage_16801.png,data\train\mask\cxrmask_16801.jpeg
data\train\image\cxrimage_16802.png,data\train\mask\cxrmask_16802.jpeg
data\train\image\cxrimage_16803.png,data\train\mask\cxrmask_16803.jpeg
data\train\image\cxrimage_16804.png,data\train\mask\cxrmask_16804.jpeg
data\train\image\cxrimage_16805.png,data\train\mask\cxrmask_16805.jpeg
data\train\image\cxrimage_16806.png,data\train\mask\cxrmask_16806.jpeg
data\train\image\cxrimage_16807.png,data\train\mask\cxrmask_16807.jpeg
data\train\image\cxrimage_16808.png,data\train\mask\cxrmask_16808.jpeg
data\train\image\cxrimage_16809.png,data\train\mask\cxrmask_16809.jpeg
data\train\image\cxrimage_1681.png,data\train\mask\cxrmask_1681.jpeg
data\train\image\cxrimage_16810.png,data\train\mask\cxrmask_16810.jpeg
data\train\image\cxrimage_16811.png,data\train\mask\cxrmask_16811.jpeg
data\train\image\cxrimage_16812.png,data\train\mask\cxrmask_16812.jpeg
data\train\image\cxrimage_16813.png,data\train\mask\cxrmask_16813.jpeg
data\train\image\cxrimage_16814.png,data\train\mask\cxrmask_16814.jpeg
data\train\image\cxrimage_16815.png,data\train\mask\cxrmask_16815.jpeg
data\train\image\cxrimage_16816.png,data\train\mask\cxrmask_16816.jpeg
data\train\image\cxrimage_16817.png,data\train\mask\cxrmask_16817.jpeg
data\train\image\cxrimage_16818.png,data\train\mask\cxrmask_16818.jpeg
data\train\image\cxrimage_16819.png,data\train\mask\cxrmask_16819.jpeg
data\train\image\cxrimage_1682.png,data\train\mask\cxrmask_1682.jpeg
data\train\image\cxrimage_16820.png,data\train\mask\cxrmask_16820.jpeg
data\train\image\cxrimage_16821.png,data\train\mask\cxrmask_16821.jpeg
data\train\image\cxrimage_16822.png,data\train\mask\cxrmask_16822.jpeg
data\train\image\cxrimage_16823.png,data\train\mask\cxrmask_16823.jpeg
data\train\image\cxrimage_16824.png,data\train\mask\cxrmask_16824.jpeg
data\train\image\cxrimage_16825.png,data\train\mask\cxrmask_16825.jpeg
data\train\image\cxrimage_16826.png,data\train\mask\cxrmask_16826.jpeg
data\train\image\cxrimage_16827.png,data\train\mask\cxrmask_16827.jpeg
data\train\image\cxrimage_16828.png,data\train\mask\cxrmask_16828.jpeg
data\train\image\cxrimage_16829.png,data\train\mask\cxrmask_16829.jpeg
data\train\image\cxrimage_1683.png,data\train\mask\cxrmask_1683.jpeg
data\train\image\cxrimage_16830.png,data\train\mask\cxrmask_16830.jpeg
data\train\image\cxrimage_16831.png,data\train\mask\cxrmask_16831.jpeg
data\train\image\cxrimage_16832.png,data\train\mask\cxrmask_16832.jpeg
data\train\image\cxrimage_16833.png,data\train\mask\cxrmask_16833.jpeg
data\train\image\cxrimage_16834.png,data\train\mask\cxrmask_16834.jpeg
data\train\image\cxrimage_16835.png,data\train\mask\cxrmask_16835.jpeg
data\train\image\cxrimage_16836.png,data\train\mask\cxrmask_16836.jpeg
data\train\image\cxrimage_16837.png,data\train\mask\cxrmask_16837.jpeg
data\train\image\cxrimage_16838.png,data\train\mask\cxrmask_16838.jpeg
data\train\image\cxrimage_16839.png,data\train\mask\cxrmask_16839.jpeg
data\train\image\cxrimage_1684.png,data\train\mask\cxrmask_1684.jpeg
data\train\image\cxrimage_16840.png,data\train\mask\cxrmask_16840.jpeg
data\train\image\cxrimage_16841.png,data\train\mask\cxrmask_16841.jpeg
data\train\image\cxrimage_16842.png,data\train\mask\cxrmask_16842.jpeg
data\train\image\cxrimage_16843.png,data\train\mask\cxrmask_16843.jpeg
data\train\image\cxrimage_16844.png,data\train\mask\cxrmask_16844.jpeg
data\train\image\cxrimage_16845.png,data\train\mask\cxrmask_16845.jpeg
data\train\image\cxrimage_16846.png,data\train\mask\cxrmask_16846.jpeg
data\train\image\cxrimage_16847.png,data\train\mask\cxrmask_16847.jpeg
data\train\image\cxrimage_16848.png,data\train\mask\cxrmask_16848.jpeg
data\train\image\cxrimage_16849.png,data\train\mask\cxrmask_16849.jpeg
data\train\image\cxrimage_1685.png,data\train\mask\cxrmask_1685.jpeg
data\train\image\cxrimage_16850.png,data\train\mask\cxrmask_16850.jpeg
data\train\image\cxrimage_16851.png,data\train\mask\cxrmask_16851.jpeg
data\train\image\cxrimage_16852.png,data\train\mask\cxrmask_16852.jpeg
data\train\image\cxrimage_16853.png,data\train\mask\cxrmask_16853.jpeg
data\train\image\cxrimage_16854.png,data\train\mask\cxrmask_16854.jpeg
data\train\image\cxrimage_16855.png,data\train\mask\cxrmask_16855.jpeg
data\train\image\cxrimage_16856.png,data\train\mask\cxrmask_16856.jpeg
data\train\image\cxrimage_16857.png,data\train\mask\cxrmask_16857.jpeg
data\train\image\cxrimage_16858.png,data\train\mask\cxrmask_16858.jpeg
data\train\image\cxrimage_16859.png,data\train\mask\cxrmask_16859.jpeg
data\train\image\cxrimage_1686.png,data\train\mask\cxrmask_1686.jpeg
data\train\image\cxrimage_16860.png,data\train\mask\cxrmask_16860.jpeg
data\train\image\cxrimage_16861.png,data\train\mask\cxrmask_16861.jpeg
data\train\image\cxrimage_16862.png,data\train\mask\cxrmask_16862.jpeg
data\train\image\cxrimage_16863.png,data\train\mask\cxrmask_16863.jpeg
data\train\image\cxrimage_16864.png,data\train\mask\cxrmask_16864.jpeg
data\train\image\cxrimage_16865.png,data\train\mask\cxrmask_16865.jpeg
data\train\image\cxrimage_16866.png,data\train\mask\cxrmask_16866.jpeg
data\train\image\cxrimage_16867.png,data\train\mask\cxrmask_16867.jpeg
data\train\image\cxrimage_16868.png,data\train\mask\cxrmask_16868.jpeg
data\train\image\cxrimage_16869.png,data\train\mask\cxrmask_16869.jpeg
data\train\image\cxrimage_1687.png,data\train\mask\cxrmask_1687.jpeg
data\train\image\cxrimage_16870.png,data\train\mask\cxrmask_16870.jpeg
data\train\image\cxrimage_16871.png,data\train\mask\cxrmask_16871.jpeg
data\train\image\cxrimage_16872.png,data\train\mask\cxrmask_16872.jpeg
data\train\image\cxrimage_16873.png,data\train\mask\cxrmask_16873.jpeg
data\train\image\cxrimage_16874.png,data\train\mask\cxrmask_16874.jpeg
data\train\image\cxrimage_16875.png,data\train\mask\cxrmask_16875.jpeg
data\train\image\cxrimage_16876.png,data\train\mask\cxrmask_16876.jpeg
data\train\image\cxrimage_16877.png,data\train\mask\cxrmask_16877.jpeg
data\train\image\cxrimage_16878.png,data\train\mask\cxrmask_16878.jpeg
data\train\image\cxrimage_16879.png,data\train\mask\cxrmask_16879.jpeg
data\train\image\cxrimage_1688.png,data\train\mask\cxrmask_1688.jpeg
data\train\image\cxrimage_16880.png,data\train\mask\cxrmask_16880.jpeg
data\train\image\cxrimage_16881.png,data\train\mask\cxrmask_16881.jpeg
data\train\image\cxrimage_16882.png,data\train\mask\cxrmask_16882.jpeg
data\train\image\cxrimage_16883.png,data\train\mask\cxrmask_16883.jpeg
data\train\image\cxrimage_16884.png,data\train\mask\cxrmask_16884.jpeg
data\train\image\cxrimage_16885.png,data\train\mask\cxrmask_16885.jpeg
data\train\image\cxrimage_16886.png,data\train\mask\cxrmask_16886.jpeg
data\train\image\cxrimage_16887.png,data\train\mask\cxrmask_16887.jpeg
data\train\image\cxrimage_16888.png,data\train\mask\cxrmask_16888.jpeg
data\train\image\cxrimage_16889.png,data\train\mask\cxrmask_16889.jpeg
data\train\image\cxrimage_1689.png,data\train\mask\cxrmask_1689.jpeg
data\train\image\cxrimage_16890.png,data\train\mask\cxrmask_16890.jpeg
data\train\image\cxrimage_16891.png,data\train\mask\cxrmask_16891.jpeg
data\train\image\cxrimage_16892.png,data\train\mask\cxrmask_16892.jpeg
data\train\image\cxrimage_16893.png,data\train\mask\cxrmask_16893.jpeg
data\train\image\cxrimage_16894.png,data\train\mask\cxrmask_16894.jpeg
data\train\image\cxrimage_16895.png,data\train\mask\cxrmask_16895.jpeg
data\train\image\cxrimage_16896.png,data\train\mask\cxrmask_16896.jpeg
data\train\image\cxrimage_16897.png,data\train\mask\cxrmask_16897.jpeg
data\train\image\cxrimage_16898.png,data\train\mask\cxrmask_16898.jpeg
data\train\image\cxrimage_16899.png,data\train\mask\cxrmask_16899.jpeg
data\train\image\cxrimage_169.png,data\train\mask\cxrmask_169.jpeg
data\train\image\cxrimage_1690.png,data\train\mask\cxrmask_1690.jpeg
data\train\image\cxrimage_16900.png,data\train\mask\cxrmask_16900.jpeg
data\train\image\cxrimage_16901.png,data\train\mask\cxrmask_16901.jpeg
data\train\image\cxrimage_16902.png,data\train\mask\cxrmask_16902.jpeg
data\train\image\cxrimage_16903.png,data\train\mask\cxrmask_16903.jpeg
data\train\image\cxrimage_16904.png,data\train\mask\cxrmask_16904.jpeg
data\train\image\cxrimage_16905.png,data\train\mask\cxrmask_16905.jpeg
data\train\image\cxrimage_16906.png,data\train\mask\cxrmask_16906.jpeg
data\train\image\cxrimage_16907.png,data\train\mask\cxrmask_16907.jpeg
data\train\image\cxrimage_16908.png,data\train\mask\cxrmask_16908.jpeg
data\train\image\cxrimage_16909.png,data\train\mask\cxrmask_16909.jpeg
data\train\image\cxrimage_1691.png,data\train\mask\cxrmask_1691.jpeg
data\train\image\cxrimage_16910.png,data\train\mask\cxrmask_16910.jpeg
data\train\image\cxrimage_16911.png,data\train\mask\cxrmask_16911.jpeg
data\train\image\cxrimage_16912.png,data\train\mask\cxrmask_16912.jpeg
data\train\image\cxrimage_16913.png,data\train\mask\cxrmask_16913.jpeg
data\train\image\cxrimage_16914.png,data\train\mask\cxrmask_16914.jpeg
data\train\image\cxrimage_16915.png,data\train\mask\cxrmask_16915.jpeg
data\train\image\cxrimage_16916.png,data\train\mask\cxrmask_16916.jpeg
data\train\image\cxrimage_16917.png,data\train\mask\cxrmask_16917.jpeg
data\train\image\cxrimage_16918.png,data\train\mask\cxrmask_16918.jpeg
data\train\image\cxrimage_16919.png,data\train\mask\cxrmask_16919.jpeg
data\train\image\cxrimage_1692.png,data\train\mask\cxrmask_1692.jpeg
data\train\image\cxrimage_16920.png,data\train\mask\cxrmask_16920.jpeg
data\train\image\cxrimage_16921.png,data\train\mask\cxrmask_16921.jpeg
data\train\image\cxrimage_16922.png,data\train\mask\cxrmask_16922.jpeg
data\train\image\cxrimage_16923.png,data\train\mask\cxrmask_16923.jpeg
data\train\image\cxrimage_16924.png,data\train\mask\cxrmask_16924.jpeg
data\train\image\cxrimage_16925.png,data\train\mask\cxrmask_16925.jpeg
data\train\image\cxrimage_16926.png,data\train\mask\cxrmask_16926.jpeg
data\train\image\cxrimage_16927.png,data\train\mask\cxrmask_16927.jpeg
data\train\image\cxrimage_16928.png,data\train\mask\cxrmask_16928.jpeg
data\train\image\cxrimage_16929.png,data\train\mask\cxrmask_16929.jpeg
data\train\image\cxrimage_1693.png,data\train\mask\cxrmask_1693.jpeg
data\train\image\cxrimage_16930.png,data\train\mask\cxrmask_16930.jpeg
data\train\image\cxrimage_16931.png,data\train\mask\cxrmask_16931.jpeg
data\train\image\cxrimage_1694.png,data\train\mask\cxrmask_1694.jpeg
data\train\image\cxrimage_1695.png,data\train\mask\cxrmask_1695.jpeg
data\train\image\cxrimage_1696.png,data\train\mask\cxrmask_1696.jpeg
data\train\image\cxrimage_1697.png,data\train\mask\cxrmask_1697.jpeg
data\train\image\cxrimage_1698.png,data\train\mask\cxrmask_1698.jpeg
data\train\image\cxrimage_1699.png,data\train\mask\cxrmask_1699.jpeg
data\train\image\cxrimage_17.png,data\train\mask\cxrmask_17.jpeg
data\train\image\cxrimage_170.png,data\train\mask\cxrmask_170.jpeg
data\train\image\cxrimage_1700.png,data\train\mask\cxrmask_1700.jpeg
data\train\image\cxrimage_1701.png,data\train\mask\cxrmask_1701.jpeg
data\train\image\cxrimage_1702.png,data\train\mask\cxrmask_1702.jpeg
data\train\image\cxrimage_1703.png,data\train\mask\cxrmask_1703.jpeg
data\train\image\cxrimage_1704.png,data\train\mask\cxrmask_1704.jpeg
data\train\image\cxrimage_1705.png,data\train\mask\cxrmask_1705.jpeg
data\train\image\cxrimage_1706.png,data\train\mask\cxrmask_1706.jpeg
data\train\image\cxrimage_1707.png,data\train\mask\cxrmask_1707.jpeg
data\train\image\cxrimage_1708.png,data\train\mask\cxrmask_1708.jpeg
data\train\image\cxrimage_1709.png,data\train\mask\cxrmask_1709.jpeg
data\train\image\cxrimage_171.png,data\train\mask\cxrmask_171.jpeg
